"Root"|"Meaning in English"|"Origin language"|"Etymology (root origin)"|"English examples
"|
"<b>alph-</b><sup id=""cite_ref-20"" class=""reference""><a href=""#cite_note-20"">[20]</a></sup>"|"<a href=""/wiki/A"" title=""A"">A, a</a>"|"Greek"|"<span lang=""grc"" title=""Ancient Greek (to 1453) language text"">Α, α</span>, <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%84%CE%BB%CF%86%CE%B1#Ancient_Greek"" class=""extiw"" title=""wikt:ἄλφα"">ἄλφα</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>álpha</i></span>)"|"alphabet, alphabetic, <a href=""/wiki/Analphabetic"" class=""mw-redirect"" title=""Analphabetic"">analphabetic</a>, panalphabetic, <a href=""/wiki/Polyalphabetic_cipher"" title=""Polyalphabetic cipher"">polyalphabetic</a>
"|
"<b>alphit-</b>"|"<a href=""/wiki/Barley"" title=""Barley"">barley</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CE%BB%CF%86%CF%8C%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:ἀλφός"">ἀλφός</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>alphós</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%84%CE%BB%CF%86%CE%B9%CF%84%CE%BF%CE%BD#Ancient_Greek"" class=""extiw"" title=""wikt:ἄλφιτον"">ἄλφιτον, ἀλφίτου</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>álphiton, alphítou</i></span>)"|"<a href=""/wiki/Alphitomancy"" title=""Alphitomancy"">alphitomancy</a>
"|
"<b>alt-</b>"|"high, deep"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/altus#Latin"" class=""extiw"" title=""wikt:altus"">altus</a></i>, <i><i lang=""la"" title=""Latin language text"">altitudo</i></i>"|"altimeter, altitude, alto, altocumulus, contralto, exalt
"|
"<b>am-</b>, <b>amat-</b>"|"love, liking"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/amo#Latin"" class=""extiw"" title=""wikt:amo"">amāre</a></i>, <i><i lang=""la"" title=""Latin language text"">amatus</i></i>, <i><i lang=""la"" title=""Latin language text"">amor</i></i>"|"<a href=""/wiki/Amateur"" title=""Amateur"">amateur</a>, amatory, amenity, amorous, enamoured
"|
"<b>am-</b>, <b>amic-</b>, <b>-imic-</b>"|"friend"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/amicus#Latin"" class=""extiw"" title=""wikt:amicus"">amicus</a></i>"|"amiable, amicable, amity, enemy, enmity, inimical
"|
"<b><a href=""#amm-"">amath-</a></b>"|"sand"|"Greek"|""|"amathophobia
"|
"<b>ambi-</b>, <b>am-</b>, <b>amb-</b>, <b>ambo-</b>, <b>an-</b>"|"both, on both sides"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/ambi#Latin"" class=""extiw"" title=""wikt:ambi"">ambi</a></i>"|"<a href=""/wiki/Ambidexterity"" title=""Ambidexterity"">ambidexterity</a>, ambient, ambiguous, ambit, ambition, <a href=""/wiki/Ambivalence"" title=""Ambivalence"">ambivalent</a>, amboceptor, amputation, ancipital, andante
"|
"<b>ambly-</b><sup id=""cite_ref-21"" class=""reference""><a href=""#cite_note-21"">[21]</a></sup>"|"dull"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CE%BC%CE%B2%CE%BB%CF%8D%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:ἀμβλύς"">ἀμβλύς</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>amblús</i></span>)"|"amblygeustia, <a href=""/wiki/Amblygonite"" title=""Amblygonite"">amblygonite</a>, <a href=""/wiki/Amblyopia"" title=""Amblyopia"">amblyopia</a>, <a href=""/wiki/Amblypoda"" title=""Amblypoda"">Amblypoda</a>
"|
"<b>ambul-</b>"|"walk"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/ambulo#Latin"" class=""extiw"" title=""wikt:ambulo"">ambulare</a></i>"|"<a href=""/wiki/Ambulance"" title=""Ambulance"">ambulance</a>, ambulatory, amble, perambulate, preamble, somnambulist
"|
"<b>amm-</b><sup id=""cite_ref-22"" class=""reference""><a href=""#cite_note-22"">[22]</a></sup>"|"<a href=""/wiki/Sand"" title=""Sand"">sand</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%84%CE%BC%CE%BC%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:ἄμμος"">ἄμμος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>ámmos</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἄμαθος</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>ámathos</i></span>)"|"amathophobia, <a href=""/wiki/Ammophila_(disambiguation)"" class=""mw-redirect mw-disambig"" title=""Ammophila (disambiguation)"">Ammophila</a>
"|
"<b>amn-</b><sup id=""cite_ref-23"" class=""reference""><a href=""#cite_note-23"">[23]</a></sup>"|"lamb"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CE%BC%CE%BD%CF%8C%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:ἀμνός"">ἀμνός</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>amnós</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἀμνεῖος</span>, <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἀμνειός</span>, <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἀμνίον</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>amníon</i></span>)"|"amniocentesis, <a href=""/wiki/Amnion"" title=""Amnion"">amnion</a>, amnioscope, <a href=""/wiki/Amniote"" title=""Amniote"">amniote</a>, amniotic, <a href=""/wiki/Anamniote"" class=""mw-redirect"" title=""Anamniote"">anamniote</a>
"|
"<b>amph-</b>, <b>amphi-</b><sup id=""cite_ref-24"" class=""reference""><a href=""#cite_note-24"">[24]</a></sup>"|"both, on both sides of, both kinds"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CE%BC%CF%86%CE%AF#Ancient_Greek"" class=""extiw"" title=""wikt:ἀμφί"">ἀμφί</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>amphí</i></span>) ""on both sides"""|"<a href=""/wiki/Amphibian"" title=""Amphibian"">amphibian</a>, amphibious, <a href=""/wiki/Amphibole"" title=""Amphibole"">amphibole</a>, <a href=""/wiki/Amphibolic"" title=""Amphibolic"">amphibolic</a>, <a href=""/wiki/Amphimacer"" class=""mw-redirect"" title=""Amphimacer"">amphimacer</a>, <a href=""/wiki/Amphipoda"" title=""Amphipoda"">Amphipoda</a>, amphistyly, <a href=""/wiki/Amphitheatre"" title=""Amphitheatre"">amphitheatre</a>, <a href=""/wiki/Amphoterism"" title=""Amphoterism"">amphoterism</a>
"|
"<b>ampl-</b>"|"ample, abundant, bountiful, large"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/amplus#Latin"" class=""extiw"" title=""wikt:amplus"">amplus</a></i>"|"ample, amplify, amplitude
"|
"<b>amygdal-</b><sup id=""cite_ref-25"" class=""reference""><a href=""#cite_note-25"">[25]</a></sup>"|"<a href=""/wiki/Almond"" title=""Almond"">almond</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CE%BC%CF%85%CE%B3%CE%B4%CE%AC%CE%BB%CE%B7#Ancient_Greek"" class=""extiw"" title=""wikt:ἀμυγδάλη"">ἀμυγδάλη</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>amugdálē</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἀμύγδαλον</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>amúgdalon</i></span>)"|"<a href=""/wiki/Almond"" title=""Almond"">almond</a>, <a href=""/wiki/Amygdala"" title=""Amygdala"">amygdala</a>, amygdale, amygdalin, amygdaloid, <a href=""/wiki/Amygdule"" title=""Amygdule"">amygdule</a>
"|
"<b>an-</b>, <b>a-</b>, <b>am-</b>, <b>ar-</b>"|"not, without"|"Greek"|"Greek <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80-#Ancient_Greek"" class=""extiw"" title=""wikt:ἀ-"">ἀν-/ἀ-</a></span> ""not"""|"<a href=""/wiki/Ambrosia"" title=""Ambrosia"">ambrosia</a>, anaerobic, anarchy, anemia, anesthesia, <a href=""/wiki/Anhydrous"" title=""Anhydrous"">anhydrous</a>, anonymous, apathy, aphasia, arrhythmia, <a href=""/wiki/Atheism"" title=""Atheism"">atheism</a>, atypical
"|
"<b>ana-</b>, <b>am-</b>, <b>an-</b><sup id=""cite_ref-26"" class=""reference""><a href=""#cite_note-26"">[26]</a></sup>"|"again, against, back, up"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CE%BD%CE%AC#Ancient_Greek"" class=""extiw"" title=""wikt:ἀνά"">ἀνά</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>aná</i></span>)"|"anagram, <a href=""/wiki/Anabaptist"" class=""mw-redirect"" title=""Anabaptist"">anabaptist</a>, <a href=""/wiki/Anaphylaxis"" title=""Anaphylaxis"">anaphylaxis</a>, anarrhexis, <a href=""/wiki/Anion"" class=""mw-redirect"" title=""Anion"">anion</a>, <a href=""/wiki/Anode"" title=""Anode"">anode</a>
"|
"<b>andr-</b><sup id=""cite_ref-27"" class=""reference""><a href=""#cite_note-27"">[27]</a></sup> (ΑΝΕΡ)"|"male, masculine"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CE%BD%CE%AE%CF%81#Ancient_Greek"" class=""extiw"" title=""wikt:ἀνήρ"">ἀνήρ, ἀνδρός</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>anḗr, andrós</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἀνδρότης</span>"|"Andrew, Alexander, androcentric, <a href=""/wiki/Androcentrism"" title=""Androcentrism"">androcentrism</a>, <a href=""/wiki/Androgen"" title=""Androgen"">androgen</a>, <i lang=""en""><a href=""https://en.wiktionary.org/wiki/androgenous#English"" class=""extiw"" title=""wikt:androgenous"">androgenous</a></i>, androgyne, androgynous, androgyny, <a href=""/wiki/Android_(robot)"" title=""Android (robot)"">android</a>, <a href=""/wiki/Andrology"" title=""Andrology"">andrology</a>, androphobia, androspore, diandry, <a href=""/wiki/Misandry"" title=""Misandry"">misandry</a>, monandry, philander, polyandrous, <a href=""/wiki/Polyandry"" title=""Polyandry"">polyandry</a>, <a href=""/wiki/Protandry"" class=""mw-redirect"" title=""Protandry"">protandry</a>, pseudandry, synandrous
"|
"<b>anem-</b><sup id=""cite_ref-28"" class=""reference""><a href=""#cite_note-28"">[28]</a></sup> (ΑΝ)"|"<a href=""/wiki/Wind"" title=""Wind"">wind</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%84%CE%BD%CE%B5%CE%BC%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:ἄνεμος"">ἄνεμος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>ánemos</i></span>)"|"anemograph, <a href=""/wiki/Anemometer"" title=""Anemometer"">anemometer</a>, anemometric, anemone, <a href=""/wiki/Anemophilous"" class=""mw-redirect"" title=""Anemophilous"">anemophilous</a>, <a href=""/wiki/Anemophily"" title=""Anemophily"">anemophily</a>, <a href=""/wiki/Ancraophobia"" title=""Ancraophobia"">anemophobia</a>, <a href=""/wiki/Anemoscope"" title=""Anemoscope"">anemoscope</a>, anemotropism
"|
"<b>anim-</b>"|"breath, life, soul, spirit"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/anima#Latin"" class=""extiw"" title=""wikt:anima"">anima</a></i> ""breath"""|"<a href=""/wiki/Animal"" title=""Animal"">animal</a>, <a href=""/wiki/Animation"" title=""Animation"">animation</a>, <a href=""/wiki/Anime"" title=""Anime"">anime</a>, animism, animus, inanimate, equanimity
"|
"<b>ann-</b>, <b>-enn-</b>"|"year, yearly"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/annus#Latin"" class=""extiw"" title=""wikt:annus"">annus</a></i> ""year"""|"<a href=""/wiki/Anniversary"" title=""Anniversary"">anniversary</a>, <i lang=""en""><a href=""https://en.wiktionary.org/wiki/annual#English"" class=""extiw"" title=""wikt:annual"">annual</a></i>, centennial, <a href=""/wiki/Millennium"" title=""Millennium"">millennium</a>, perennial
"|
"<b>ant-</b>, <b>anti-</b><sup id=""cite_ref-29"" class=""reference""><a href=""#cite_note-29"">[29]</a></sup>"|"against, opposed to, preventive"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CE%BD%CF%84%CE%AF#Ancient_Greek"" class=""extiw"" title=""wikt:ἀντί"">ἀντί</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>antí</i></span>) ""against"""|"<a href=""/wiki/Antagonist"" title=""Antagonist"">antagonist</a>, antagonize, <a href=""/wiki/Antibiotic"" title=""Antibiotic"">antibiotic</a>, antibody, antichrist, antidepressant <a href=""/wiki/Antidote"" title=""Antidote"">antidote</a>, antifreeze, antifungal, antigen, antinomies, antipathy, <a href=""/wiki/Antipodes"" title=""Antipodes"">antipodes</a>, antirrhinum, antiseptic, antisocial, antithesis
"|
"<b>ante-</b>, <b>anti-</b><sup id=""cite_ref-30"" class=""reference""><a href=""#cite_note-30"">[30]</a></sup>"|"before, in front of, prior to; old"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/ante#Latin"" class=""extiw"" title=""wikt:ante"">ante</a></i> ""before"", ""against""; see also <i lang=""la""><a href=""https://en.wiktionary.org/wiki/antiquus#Latin"" class=""extiw"" title=""wikt:antiquus"">antiquus</a></i> ""old"""|"<i lang=""en""><a href=""https://en.wiktionary.org/wiki/pre-war#English"" class=""extiw"" title=""wikt:pre-war"">antebellum</a></i>, antecedent, antedate, <a href=""/wiki/Antediluvian"" title=""Antediluvian"">antediluvian</a>, anteroom, anticipate, <a href=""/wiki/Antiquarian"" title=""Antiquarian"">antiquarian</a>, antiquate, antique, antiquity
"|
"<b>anth-</b><sup id=""cite_ref-31"" class=""reference""><a href=""#cite_note-31"">[31]</a></sup>"|"flower"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CE%BD%CE%B8%CE%AD%CF%89#Ancient_Greek"" class=""extiw"" title=""wikt:ἀνθέω"">ἀνθεῖν</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>antheîn</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%84%CE%BD%CE%B8%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:ἄνθος"">ἄνθος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>ánthos</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἄνθησις</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>ánthēsis</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἄνθημα</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>ánthēma</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἀνθηρός</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>anthērós</i></span>)"|"<a href=""/wiki/Anther"" class=""mw-redirect"" title=""Anther"">anther</a>, anthesis, <a href=""/wiki/Anthocoridae"" title=""Anthocoridae"">Anthocoridae</a>, <a href=""/wiki/Anthodite"" title=""Anthodite"">anthodite</a>, <a href=""/wiki/Anthology"" title=""Anthology"">anthology</a>, anthophobia, anthophore, <a href=""/wiki/Anthozoa"" title=""Anthozoa"">Anthozoa</a>, chrysanthemum, <a href=""/wiki/Dianthus"" title=""Dianthus"">dianthus</a>, <a href=""/wiki/Enanthem"" title=""Enanthem"">enanthem</a>, enanthema, <a href=""/wiki/Exanthem"" title=""Exanthem"">exanthem</a>, exanthematic, hydranth, <a href=""/wiki/Hypanthium"" title=""Hypanthium"">hypanthium</a>, <a href=""/wiki/Perianth"" title=""Perianth"">perianth</a>, zoanthid
"|
"<b>anthrac-</b>"|"coal"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%84%CE%BD%CE%B8%CF%81%CE%B1%CE%BE#Ancient_Greek"" class=""extiw"" title=""wikt:ἄνθραξ"">ἄνθραξ, ἄνθρακος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>ánthrax, ánthrakos</i></span>)"|"<a href=""/wiki/Anthracite"" title=""Anthracite"">anthracite</a>, <a href=""/wiki/Anthracnose"" class=""mw-redirect"" title=""Anthracnose"">anthracnose</a>, anthracycline, <a href=""/wiki/Anthrax"" title=""Anthrax"">anthrax</a>
"|
"<b>anthrop-</b>"|"human"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%84%CE%BD%CE%B8%CF%81%CF%89%CF%80%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:ἄνθρωπος"">ἄνθρωπος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>ánthrōpos</i></span>) ""man"""|"<a href=""/wiki/Anthropology"" title=""Anthropology"">anthropology</a>, <a href=""/wiki/Anthroposophy"" title=""Anthroposophy"">anthroposophy</a>, <a href=""/wiki/Anthropomorphic"" class=""mw-redirect"" title=""Anthropomorphic"">anthropomorphic</a>, misanthrope, philanthropy
"|
"<b>ap-</b>, <b>apo-</b><sup id=""cite_ref-32"" class=""reference""><a href=""#cite_note-32"">[32]</a></sup>"|"away from, separate, at the farthest point"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CF%80%CF%8C#Ancient_Greek"" class=""extiw"" title=""wikt:ἀπό"">ἀπό</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>apó</i></span>) ""from, away, un-, quite"", sometimes ""changed, switched"""|"aphelion, <a href=""/wiki/Apocrine"" title=""Apocrine"">apocrine</a>, apocryphal, <a href=""/wiki/Apogee"" class=""mw-redirect"" title=""Apogee"">apogee</a>, aporrhinosis, <a href=""/wiki/Apostasy"" title=""Apostasy"">apostasy</a>, apostate
"|
"<b>aper-</b>"|"open"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/aperio#Latin"" class=""extiw"" title=""wikt:aperio"">aperire</a></i>"|"aperient, <a href=""/wiki/Ap%C3%A9ritif"" class=""mw-redirect"" title=""Apéritif"">apéritif</a>, aperitive, aperture, overt, overture, pert
"|
"<b>aphrod-</b>"|"<a href=""/wiki/Aphrodite"" title=""Aphrodite"">Aphrodite</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%88%CF%86%CF%81%CE%BF%CE%B4%CE%AF%CF%84%CE%B7#Ancient_Greek"" class=""extiw"" title=""wikt:Ἀφροδίτη"">Ἀφροδίτη</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>Aphrodítē</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">Ἀφροδίσιος</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>Aphrodísios</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἀφροδισιακόν</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>aphrodisiakón</i></span>)"|"<a href=""/wiki/Aphrodisiac"" title=""Aphrodisiac"">aphrodisiac</a>, <a href=""/wiki/Pseudohermaphroditism"" title=""Pseudohermaphroditism"">pseudohermaphroditism</a>
"|
"<b>api-</b>"|"bee"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/apis#Latin"" class=""extiw"" title=""wikt:apis"">apis</a></i>"|"apian, <a href=""/wiki/Apiary"" title=""Apiary"">apiary</a>, <i lang=""en""><a href=""https://en.wiktionary.org/wiki/apicula#English"" class=""extiw"" title=""wikt:apicula"">apicula</a></i>, <i lang=""en""><a href=""https://en.wiktionary.org/wiki/apium#English"" class=""extiw"" title=""wikt:apium"">apium</a></i>; <a href=""/wiki/Petrus_Apianus#Life_and_work"" title=""Petrus Apianus"">Petrus Apianus</a>
"|
"<b>aqu-</b>"|"water"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/aqua#Latin"" class=""extiw"" title=""wikt:aqua"">aqua</a></i>"|"<a href=""/wiki/Acquacotta"" title=""Acquacotta"">acquacotta</a>, <a href=""/wiki/Akvavit"" title=""Akvavit"">akvavit</a>, <a href=""/wiki/Aqua_vitae"" title=""Aqua vitae"">aqua vitae</a>, <a href=""/wiki/Aquaculture"" title=""Aquaculture"">aquaculture</a>, <a href=""/wiki/Aquamarine_(color)"" title=""Aquamarine (color)"">aquamarine</a>, <a href=""/wiki/Aquarelle"" class=""mw-redirect"" title=""Aquarelle"">aquarelle</a>, <a href=""/wiki/Aquarium"" title=""Aquarium"">aquarium</a>, <a href=""/wiki/Aquarius_(constellation)"" title=""Aquarius (constellation)"">Aquarius</a>, aquatic, aquatile, <a href=""/wiki/Aqueduct_(watercourse)"" class=""mw-redirect"" title=""Aqueduct (watercourse)"">aqueduct</a>, <a href=""/wiki/Aqueous_solution"" title=""Aqueous solution"">aqueous</a>, <a href=""/wiki/Aquifer"" title=""Aquifer"">aquifer</a>, aquiferous, aquiform, <a href=""/wiki/Gouache"" title=""Gouache"">gouache</a>, semiaquatic
"|
"<b>ara-</b>"|"plow, till"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/aro#Latin"" class=""extiw"" title=""wikt:aro"">ărāre</a></i>"|"arability, <a href=""/wiki/Arable_land"" title=""Arable land"">arable</a>, aration, aratory, exarate, exaration, inarable, nonarable
"|
"<b>arachn-</b>"|"<a href=""/wiki/Spider"" title=""Spider"">spider</a>"|"Greek"|"<span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἀράχνης</span>, <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CF%81%CE%AC%CF%87%CE%BD%CE%B7#Ancient_Greek"" class=""extiw"" title=""wikt:ἀράχνη"">ἀράχνη</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>arákhnē</i></span>)"|"<a href=""/wiki/Arachne"" title=""Arachne"">Arachne</a>, <a href=""/wiki/Arachnid"" title=""Arachnid"">arachnid</a>, <a href=""/wiki/Arachnodactyly"" title=""Arachnodactyly"">arachnodactyly</a>, arachnoid, arachnology, <a href=""/wiki/Arachnophobia"" title=""Arachnophobia"">arachnophobia</a>
"|
